Mach	Alpha	CA Power-On	CN	CP
0.58	4	0.624003182	1.730270476	126.3950588
0.59	4	0.622382897	1.730270476	126.3950588
0.6	4	0.620791629	1.730270476	126.3950588
0.61	4	0.619978354	1.730270476	126.3950588
0.62	4	0.61916087	1.730270476	126.3950588
0.63	4	0.618365347	1.730270476	126.3950588
0.64	4	0.617590973	1.730270476	126.3950588
0.65	4	0.616836989	1.730270476	126.3950588
0.66	4	0.616102593	1.730270476	126.3950588
0.67	4	0.615387203	1.730270476	126.3950588
0.68	4	0.614690138	1.730270476	126.3950588
0.69	4	0.61401068	1.730270476	126.3950588
0.7	4	0.613348332	1.730270476	126.3950588
0.71	4	0.612702481	1.730270476	126.3950588
0.72	4	0.612072596	1.730270476	126.3950588
0.73	4	0.611458144	1.730270476	126.3950588
0.74	4	0.610858646	1.730270476	126.3950588
0.75	4	0.610273657	1.730270476	126.3950588
0.76	4	0.609702629	1.730270476	126.3950588
0.77	4	0.609145238	1.730270476	126.3950588
0.78	4	0.608601008	1.730270476	126.3950588
0.79	4	0.608069541	1.730270476	126.3950588
0.8	4	0.60755049	1.730270476	126.3950588
0.81	4	0.607043461	1.730270476	126.3950588
0.82	4	0.606548141	1.730270476	126.3950588
0.83	4	0.606064134	1.730270476	126.3950588
0.84	4	0.605591176	1.730270476	126.3950588
0.85	4	0.605128915	1.730270476	126.3950588
0.86	4	0.604677042	1.730270476	126.3950588
0.87	4	0.604235333	1.730270476	126.3950588
0.88	4	0.603803464	1.730270476	126.3950588
0.89	4	0.603381191	1.730270476	126.3950588
0.9	4	0.602968241	1.730270476	126.3950588
0.91	4	0.607068425	1.721941289	126.5659665
0.92	4	0.619368977	1.713612103	126.7368741
0.93	4	0.632061126	1.705282916	126.9077818
0.94	4	0.638994596	1.696953729	127.0786894
0.95	4	0.645928067	1.688624543	127.2495971
0.96	4	0.652861537	1.680295356	127.4205048
0.97	4	0.659795007	1.67196617	127.5914124
0.98	4	0.666728477	1.663636983	127.7623201
0.99	4	0.673661947	1.655307797	127.9332278
1	4	0.680595417	1.64697861	128.1041354
